text,label
"Actually, Five stars! The build quality is top-notch and battery life is outstanding. Looking forward to hearing back.",Positive
"Good afternoon, I am so impressed with how easy it was to set up and start using. Let me know asap.",Positive
"In my opinion, I'm so grateful for all the support you've given me this year. Appreciate your help.",Positive
"Hello, Just wanted to say the support team was fantastic and super helpful. Please assist.",Positive
The screen flickers constantly and makes high pitched buzzing noises.,Negative
the store operates from 9:00 am to 6:00 pm monday through friday.,Neutral
"Hi, Outstanding craftsmanship and stellar attention to detail. Please assist.",Positive
"Good afternoon, The store operates from 9:00 AM to 6:00 PM Monday through Friday. Looking forward to hearing back.",Neutral
Notice: Please find the attached invoice document for your reference and filing. Please respond soon.,Neutral
"Honestly, Do not buy this! Terrible quality, broke within an hour of opening. Appreciate your help.",Negative
Brilliant engineering and exceptional performance for the price point. Please assist.,Positive
"Actually, I'm so grateful for all the support you've given me this year. Please assist.",Positive
"Good afternoon, the train departs at platform number three at 10:15 am. What do you suggest?",Neutral
The store operates from 9:00 AM to 6:00 PM Monday through Friday.,Neutral
"Update: The quality is awful, cheap materials and horrible build standard. This is critical.",Negative
This traffic jam is driving me insane and making me late for work.,Negative
Please note: the store operates from 9:00 am to 6:00 pm monday through friday. This is critical.,Neutral
"Update: Extremely disappointed with this purchase, complete scam and waste. Appreciate your help.",Negative
"the user interface is gorgeous, responsive, and wonderfully intuitive.",Positive
"I regret buying this, customer service refused to honor the warranty.",Negative
"Hi, I can't stop smiling, this made my whole day fantastic and joyful.",Positive
"Hi, I regret buying this, customer service refused to honor the warranty. Appreciate your help.",Negative
I'm so grateful for all the support you've given me this year.,Positive
"Honestly, the customer service team was extremely helpful, polite, and responsive. Appreciate your help.",Positive
"To whom it may concern, I am furious that they cancelled my flight without any warning.",Negative
"Hello, The software is full of bugs, constantly crashes, and freezes my computer. Best regards.",Negative
"Hello, a truly delightful and satisfying experience from start to finish. Thanks.",Positive
"Honestly, Just wanted to say the support team was fantastic and super helpful. This is critical.",Positive
"Customer support was rude, unhelpful, and hung up on me when I called. This is critical.",Negative
"Hey support team, Worst customer service I've ever experienced, total waste of money. Appreciate your help.",Negative
"Hello, A truly delightful and satisfying experience from start to finish. Please assist.",Positive
"Quick note: Do not buy this! Terrible quality, broke within an hour of opening. Appreciate your help.",Negative
The battery lasts about six hours under moderate regular usage.,Neutral
"Actually, The customer service team was extremely helpful, polite, and responsive. Thanks.",Positive
Important: The laptop stopped working after just two days of light use. Please respond soon.,Negative
"do not buy this! terrible quality, broke within an hour of opening.",Negative
"Dear team, best purchase i have ever made this year, works flawlessly every time.",Positive
"In my opinion, Outstanding craftsmanship and stellar attention to detail.",Positive
"Please note: customer support was rude, unhelpful, and hung up on me when i called. Please assist.",Negative
"Good morning, The delivery was extremely late and the food arrived completely cold. Let me know asap.",Negative
"Hi, The battery lasts about six hours under moderate regular usage. Thank you so much.",Neutral
"Hi, Terrible experience, they charged hidden fees without my consent. Please respond soon.",Negative
Urgent: The package arrived in standard cardboard packaging with a shipping label. Thank you so much.,Neutral
Urgent: Just wanted to say the support team was fantastic and super helpful. Appreciate your help.,Positive
"Hello, The food was delicious, freshly prepared, and served with a warm smile. Thanks.",Positive
"Actually, the food was delicious, freshly prepared, and served with a warm smile. Please respond soon.",Positive
"Hey support team, The application requires an active internet connection to synchronize data. Looking forward to hearing back.",Neutral
"To whom it may concern, super pleased with the result, worth every single penny! Thank you so much.",Positive
Please find the attached invoice document for your reference and filing.,Neutral
"Hello, I'm so grateful for all the support you've given me this year. This is critical.",Positive
Quick note: The product contains basic plastic components and an instruction manual. Let me know asap.,Neutral
"Notice: The hotel room was average, containing two beds and a television set. Appreciate your help.",Neutral
"Notice: The item arrived broken, scratched, and missing key accessories. This is critical.",Negative
"Honestly, the application requires an active internet connection to synchronize data. Please respond soon.",Neutral
The software version was updated to 2.4.1 as scheduled in the release notes.,Neutral
"Hey support team, the quality is awful, cheap materials and horrible build standard. What do you suggest?",Negative
the train departs at platform number three at 10:15 am.,Neutral
"In my opinion, A truly delightful and satisfying experience from start to finish. Best regards.",Positive
Quick note: the battery lasts about six hours under moderate regular usage. Let me know asap.,Neutral
Urgent: Five stars! The build quality is top-notch and battery life is outstanding. Please assist.,Positive
Update: please find the attached invoice document for your reference and filing. Please respond soon.,Neutral
Update: The train departs at platform number three at 10:15 AM. Please assist.,Neutral
