text,label
"Good afternoon, URGENT: Your bank account has been suspended! Verify your password immediately: http://secure-login-bank.top Best regards.",Spam
"In my opinion, Double your Bitcoin in 24 hours guaranteed! Send 0.1 BTC to receive 0.5 BTC instantly! Let me know asap.",Spam
Please note: let me know if you need any assistance preparing the budget spreadsheet. Please assist.,Not Spam
Double your Bitcoin in 24 hours guaranteed! Send 0.1 BTC to receive 0.5 BTC instantly!,Spam
Important: Free Amazon $500 gift card reward! Enter your phone number and credit card to claim. Let me know asap.,Spam
"Hello, Lose 20 pounds in 3 days with this secret miracle diet pill! Risk free trial! Looking forward to hearing back.",Spam
Let me know if you need any assistance preparing the budget spreadsheet. Please assist.,Not Spam
The university library books you borrowed are due next Monday. Looking forward to hearing back.,Not Spam
"Notice: Dear beneficiary, claim your $5,500,000 inheritance from the late royalty fund today. Thanks.",Spam
"hi mom, i arrived safely at the hotel and will call you in the evening.",Not Spam
"Good morning, urgent: your bank account has been suspended! verify your password immediately: http://secure-login-bank.top Looking forward to hearing back.",Spam
"Hey support team, Let me know if you need any assistance preparing the budget spreadsheet. This is critical.",Not Spam
Important: Final notice: Your car warranty has expired. Press 1 to renew immediately. Please respond soon.,Spam
"Update: Dear beneficiary, claim your $5,500,000 inheritance from the late royalty fund today. Best regards.",Spam
"Hey support team, Hi Mom, I arrived safely at the hotel and will call you in the evening.",Not Spam
"Quick note: Thanks for sending over the meeting minutes, I will review them tonight. Looking forward to hearing back.",Not Spam
Urgent: the university library books you borrowed are due next monday. Please respond soon.,Not Spam
"Update: BUY cheap luxury watches, Rolex replica 90% discount sale ends today! Please assist.",Spam
"Good afternoon, Thanks for sending over the meeting minutes, I will review them tonight. Best regards.",Not Spam
"Hello, Please find the updated project milestones and timeline schedule attached. Let me know asap.",Not Spam
"Good afternoon, Hey, are we still meeting for lunch at the cafeteria at 12:30 today? Appreciate your help.",Not Spam
"Actually, Final notice: Your car warranty has expired. Press 1 to renew immediately. What do you suggest?",Spam
"Hey support team, Get pre-approved for an instant $50,000 low interest loan with ZERO credit check needed! Best regards.",Spam
"Honestly, Final notice: Your car warranty has expired. Press 1 to renew immediately. Best regards.",Spam
Free Amazon $500 gift card reward! Enter your phone number and credit card to claim.,Spam
"Actually, Your monthly electric utility bill of $78.50 is ready to view online. Let me know asap.",Not Spam
"Get pre-approved for an instant $50,000 low interest loan with ZERO credit check needed!",Spam
"Notice: Get pre-approved for an instant $50,000 low interest loan with ZERO credit check needed! This is critical.",Spam
Urgent: lose 20 pounds in 3 days with this secret miracle diet pill! risk free trial! Please respond soon.,Spam
"Thanks for sending over the meeting minutes, I will review them tonight.",Not Spam
"Notice: Hi Mom, I arrived safely at the hotel and will call you in the evening. Please respond soon.",Not Spam
"Hi, hey, are we still meeting for lunch at the cafeteria at 12:30 today?",Not Spam
Update: final notice: your car warranty has expired. press 1 to renew immediately.,Spam
"Actually, Double your Bitcoin in 24 hours guaranteed! Send 0.1 BTC to receive 0.5 BTC instantly! What do you suggest?",Spam
"Hello, buy cheap luxury watches, rolex replica 90% discount sale ends today! Please assist.",Spam
"In my opinion, Your doctor's appointment is confirmed for Thursday, October 12th at 2:00 PM. Looking forward to hearing back.",Not Spam
"Good afternoon, You have 1 unread urgent voicemail message regarding your pending tax refund. Call 1-900-555-SPAM. Let me know asap.",Spam
You have 1 unread urgent voicemail message regarding your pending tax refund. Call 1-900-555-SPAM. Looking forward to hearing back.,Spam
"Notice: BUY cheap luxury watches, Rolex replica 90% discount sale ends today! Please respond soon.",Spam
"In my opinion, URGENT: Your bank account has been suspended! Verify your password immediately: http://secure-login-bank.top Let me know asap.",Spam
"Actually, You have 1 unread urgent voicemail message regarding your pending tax refund. Call 1-900-555-SPAM. Thanks.",Spam
"To whom it may concern, Final notice: Your car warranty has expired. Press 1 to renew immediately. Looking forward to hearing back.",Spam
"To whom it may concern, Hey, are we still meeting for lunch at the cafeteria at 12:30 today? Thank you so much.",Not Spam
"Good afternoon, Get pre-approved for an instant $50,000 low interest loan with ZERO credit check needed! Please assist.",Spam
"your doctor's appointment is confirmed for thursday, october 12th at 2:00 pm. Let me know asap.",Not Spam
Attached is the weekly project progress report for your team review. Looking forward to hearing back.,Not Spam
"Please note: Dear beneficiary, claim your $5,500,000 inheritance from the late royalty fund today. Best regards.",Spam
"Hey support team, CONGRATULATIONS! You have been selected as the WINNER of $1,000,000 cash! Claim now at http://prize-win.xyz Please assist.",Spam
"Honestly, work from home and earn $5,000 per week with just 30 minutes of online data entry! Please assist.",Spam
"Update: congratulations! you have been selected as the winner of $1,000,000 cash! claim now at http://prize-win.xyz Appreciate your help.",Spam
"Dear team, Dear beneficiary, claim your $5,500,000 inheritance from the late royalty fund today.",Spam
"Update: hey, are we still meeting for lunch at the cafeteria at 12:30 today? Thank you so much.",Not Spam
Urgent: HOT singles in your area want to chat with you right now! Click here to view private photos! Thanks.,Spam
"Good morning, HOT singles in your area want to chat with you right now! Click here to view private photos! Please assist.",Spam
"Your doctor's appointment is confirmed for Thursday, October 12th at 2:00 PM.",Not Spam
Update: Your flight ticket confirmation code is XY892K for flight AA-104. Please respond soon.,Not Spam
"In my opinion, CONGRATULATIONS! You have been selected as the WINNER of $1,000,000 cash! Claim now at http://prize-win.xyz",Spam
"FYI: Hi Mom, I arrived safely at the hotel and will call you in the evening. Best regards.",Not Spam
FYI: The university library books you borrowed are due next Monday.,Not Spam
"Actually, buy cheap luxury watches, rolex replica 90% discount sale ends today! What do you suggest?",Spam
"Notice: BUY cheap luxury watches, Rolex replica 90% discount sale ends today! Best regards.",Spam
"buy cheap luxury watches, rolex replica 90% discount sale ends today!",Spam
"Urgent: get pre-approved for an instant $50,000 low interest loan with zero credit check needed! Please assist.",Spam
Update: Your flight ticket confirmation code is XY892K for flight AA-104. What do you suggest?,Not Spam
Urgent: Can you please review the attached slide deck before our client presentation? Please assist.,Not Spam
"Honestly, The university library books you borrowed are due next Monday. Best regards.",Not Spam
Update: Your monthly electric utility bill of $78.50 is ready to view online. This is critical.,Not Spam
"Honestly, Lose 20 pounds in 3 days with this secret miracle diet pill! Risk free trial! Thank you so much.",Spam
HOT singles in your area want to chat with you right now! Click here to view private photos!,Spam
"Honestly, Can you please review the attached slide deck before our client presentation? Let me know asap.",Not Spam
Notice: Please find the updated project milestones and timeline schedule attached. Best regards.,Not Spam
hot singles in your area want to chat with you right now! click here to view private photos! Please respond soon.,Spam
Please note: You have 1 unread urgent voicemail message regarding your pending tax refund. Call 1-900-555-SPAM. Thanks.,Spam
"Hey support team, URGENT: Your bank account has been suspended! Verify your password immediately: http://secure-login-bank.top Please respond soon.",Spam
"Hey support team, buy cheap luxury watches, rolex replica 90% discount sale ends today! What do you suggest?",Spam
"Hi, The university library books you borrowed are due next Monday. Thank you so much.",Not Spam
"Dear team, get pre-approved for an instant $50,000 low interest loan with zero credit check needed! What do you suggest?",Spam
Notice: Lose 20 pounds in 3 days with this secret miracle diet pill! Risk free trial! Let me know asap.,Spam
"Update: get pre-approved for an instant $50,000 low interest loan with zero credit check needed! Best regards.",Spam
"Dear team, Can you please review the attached slide deck before our client presentation? Thank you so much.",Not Spam
Can you please review the attached slide deck before our client presentation?,Not Spam
"work from home and earn $5,000 per week with just 30 minutes of online data entry!",Spam
"Honestly, Work from home and earn $5,000 per week with just 30 minutes of online data entry! Appreciate your help.",Spam
"Good morning, Can you please review the attached slide deck before our client presentation?",Not Spam
Please note: attached is the weekly project progress report for your team review. Thanks.,Not Spam
"Honestly, Hi Mom, I arrived safely at the hotel and will call you in the evening. Best regards.",Not Spam
"Please note: Thanks for sending over the meeting minutes, I will review them tonight. Thanks.",Not Spam
Please note: Your monthly electric utility bill of $78.50 is ready to view online. Let me know asap.,Not Spam
"Dear team, Double your Bitcoin in 24 hours guaranteed! Send 0.1 BTC to receive 0.5 BTC instantly! What do you suggest?",Spam
"Honestly, Here is the recipe for the pasta dish we made last weekend. Thanks.",Not Spam
"Update: BUY cheap luxury watches, Rolex replica 90% discount sale ends today! Please assist.",Spam
"In my opinion, Your flight ticket confirmation code is XY892K for flight AA-104. Let me know asap.",Not Spam
Important: hot singles in your area want to chat with you right now! click here to view private photos! Thank you so much.,Spam
"Honestly, You have 1 unread urgent voicemail message regarding your pending tax refund. Call 1-900-555-SPAM. Thanks.",Spam
"Dear team, Hi Mom, I arrived safely at the hotel and will call you in the evening. Thanks.",Not Spam
"Notice: Hey, are we still meeting for lunch at the cafeteria at 12:30 today? Appreciate your help.",Not Spam
you have 1 unread urgent voicemail message regarding your pending tax refund. call 1-900-555-spam. Looking forward to hearing back.,Spam
Attached is the weekly project progress report for your team review. Appreciate your help.,Not Spam
"Dear team, Work from home and earn $5,000 per week with just 30 minutes of online data entry! Let me know asap.",Spam
"Hi, You have 1 unread urgent voicemail message regarding your pending tax refund. Call 1-900-555-SPAM. What do you suggest?",Spam
Important: You have 1 unread urgent voicemail message regarding your pending tax refund. Call 1-900-555-SPAM. Best regards.,Spam
"Actually, HOT singles in your area want to chat with you right now! Click here to view private photos! What do you suggest?",Spam
"In my opinion, Your flight ticket confirmation code is XY892K for flight AA-104. Thanks.",Not Spam
"BUY cheap luxury watches, Rolex replica 90% discount sale ends today! Thanks.",Spam
"dear beneficiary, claim your $5,500,000 inheritance from the late royalty fund today.",Spam
Quick note: free amazon $500 gift card reward! enter your phone number and credit card to claim. Let me know asap.,Spam
Please note: Your monthly electric utility bill of $78.50 is ready to view online. Thank you so much.,Not Spam
"Hi, Hi Mom, I arrived safely at the hotel and will call you in the evening. Looking forward to hearing back.",Not Spam
"Good afternoon, CONGRATULATIONS! You have been selected as the WINNER of $1,000,000 cash! Claim now at http://prize-win.xyz Please assist.",Spam
"Dear team, HOT singles in your area want to chat with you right now! Click here to view private photos! Looking forward to hearing back.",Spam
Notice: Can you please review the attached slide deck before our client presentation? Thanks.,Not Spam
