text,label
"Important: Super excited for the weekend trip, can't wait to celebrate! What do you suggest?",Joy
"Hello, feeling fantastic, energetic, and full of positive vibes and bliss! This is critical.",Joy
"Urgent: trembling with sheer fear, my hands are shaking uncontrollably from panic. Best regards.",Fear
"Hi, Feeling extreme anxiety, nervous dread, and horror about what will happen.",Fear
"Hello, Tears in my eyes, feeling completely shattered, rejected, and crushed. Please assist.",Sadness
Quick note: The store is open from 9 AM to 6 PM on business weekdays. Appreciate your help.,Neutral
"Good morning, This is outrageous, I demand an immediate explanation right now! Looking forward to hearing back.",Anger
"Hey support team, You mean everything to me, absolutely adorable, sweet, and charming. Best regards.",Love
Notice: What a sudden and unexpected pleasant surprise this morning! Appreciate your help.,Surprise
"Notice: Trembling with sheer fear, my hands are shaking uncontrollably from panic. Please respond soon.",Fear
"Hey support team, I'm nervous about my job interview scheduled for tomorrow morning. Thanks.",Fear
"Honestly, I feel so helpless, abandoned, and isolated from everyone around me. Please respond soon.",Sadness
Update: that surprise party left me completely speechless and overjoyed. Thank you so much.,Joy
i'm terrified about the results of my medical test tomorrow.,Fear
"Good morning, I can't stop smiling, today is such a wonderful and glorious day! Looking forward to hearing back.",Joy
Quick note: I am losing my temper and cannot tolerate this insulting rubbish anymore. Please respond soon.,Anger
"FYI: You are my absolute favorite person in the entire world, my darling. Please assist.",Love
Quick note: The store is open from 9 AM to 6 PM on business weekdays. Let me know asap.,Neutral
"Update: Utterly infuriated by their pathetic, arrogant, and rude customer service. Let me know asap.",Anger
Quick note: the file has been saved to the designated folder on the local drive.,Neutral
"Urgent: Forever grateful for your unconditional love, affection, and care. Please assist.",Love
"Quick note: Best day of my life, celebrating with my friends and family!",Joy
"FYI: You are my absolute favorite person in the entire world, my darling. Let me know asap.",Love
the standard protocol was followed according to the operating manual. Please assist.,Neutral
"Notice: This is so creepy, scary, and dangerous, I am completely panicked. Please respond soon.",Fear
"Quick note: The risk is horrifying, I am in total shock and petrified with anxiety. Please respond soon.",Fear
"Update: such a sweet, lovely, and precious treasure in my life.",Love
"this is outrageous, i demand an immediate explanation right now!",Anger
The store is open from 9 AM to 6 PM on business weekdays.,Neutral
"Honestly, I am losing my temper and cannot tolerate this insulting rubbish anymore. Please respond soon.",Anger
"Quick note: Wow, I cannot believe this actually happened out of nowhere! Please respond soon.",Surprise
"Good afternoon, An unsettling, eerie atmosphere that filled me with dread and terror. Please respond soon.",Fear
Update: A sorrowful and agonizing situation that fills me with grief and tears. Appreciate your help.,Sadness
"FYI: Sending you warm hugs, gentle kisses, and lots of unconditional love. Best regards.",Love
"Quick note: sending you warm hugs, gentle kisses, and lots of unconditional love. Please assist.",Love
Urgent: The report contains twenty pages of tabular financial data. Please respond soon.,Neutral
"Quick note: i am so proud of my accomplishments, this is truly a dream come true. Looking forward to hearing back.",Joy
"Hi, Life is beautiful, feeling peaceful, contented, and full of happiness. Thanks.",Joy
FYI: My heart is broken and I can't stop crying alone in my dark room. Appreciate your help.,Sadness
"Hello, i am terrified and scared for my physical safety and wellbeing. Thank you so much.",Fear
"Honestly, The meeting is scheduled for tomorrow afternoon in conference room B. Appreciate your help.",Neutral
"Important: Tears in my eyes, feeling completely shattered, rejected, and crushed. Thank you so much.",Sadness
Quick note: that surprise party left me completely speechless and overjoyed. Thank you so much.,Joy
"Important: I feel alive, blessed, and full of pure happiness, smiles, and joy. Thanks.",Joy
"Honestly, Wow, I cannot believe this actually happened out of nowhere!",Surprise
"Dear team, Feeling extreme anxiety, nervous dread, and horror about what will happen.",Fear
"Hello, This makes my blood boil, how dare they treat paying customers like this! What do you suggest?",Anger
"Actually, I am so proud of my accomplishments, this is truly a dream come true. Best regards.",Joy
"FYI: Feeling fantastic, energetic, and full of positive vibes and bliss! Let me know asap.",Joy
"Honestly, Scared to death of the dark alley and the strange stalking footsteps. Please assist.",Fear
"Good morning, oh my goodness, what a shocking, unbelievable revelation! Let me know asap.",Surprise
"Hey support team, i am so frustrated and pissed off with this extreme incompetence! Please assist.",Anger
"yay, we achieved our goal and won first place in the tournament!",Joy
Update: a terrifying nightmare that frightened all of us to the bone. Best regards.,Fear
"Update: Feeling extreme anxiety, nervous dread, and horror about what will happen. What do you suggest?",Fear
"Good morning, Wow, I cannot believe this actually happened out of nowhere! This is critical.",Surprise
"Good afternoon, I'm nervous about my job interview scheduled for tomorrow morning. Best regards.",Fear
"To whom it may concern, This makes my blood boil, how dare they treat paying customers like this! Appreciate your help.",Anger
"To whom it may concern, The box dimensions are thirty centimeters wide and fifty centimeters high. Thanks.",Neutral
Please note: Unbelievable turn of events that took everyone completely by surprise.,Surprise
I am losing my temper and cannot tolerate this insulting rubbish anymore.,Anger
Notice: I am terrified and scared for my physical safety and wellbeing. Thanks.,Fear
"Please note: Disappointed with myself, feeling like an absolute failure and burden. Appreciate your help.",Sadness
Important: A sorrowful and agonizing situation that fills me with grief and tears. Looking forward to hearing back.,Sadness
"FYI: I feel so sad, hopeless, and depressed today. Thanks.",Sadness
Scared to death of the dark alley and the strange stalking footsteps. Please respond soon.,Fear
"disappointed with myself, feeling like an absolute failure and burden.",Sadness
"Quick note: Incredible, I was not anticipating this mind-blowing twist at all! Appreciate your help.",Surprise
"Fuming with rage, this dishonest cheat ruined everything for us. Let me know asap.",Anger
"FYI: I feel so sad, hopeless, and depressed today. Looking forward to hearing back.",Sadness
Notice: Unbelievable turn of events that took everyone completely by surprise. Please assist.,Surprise
FYI: The temperature outside is 20 degrees Celsius with moderate wind. Let me know asap.,Neutral
"In my opinion, the store is open from 9 am to 6 pm on business weekdays. What do you suggest?",Neutral
Update: The train arrives on platform four at quarter past five. Looking forward to hearing back.,Neutral
"Actually, I love you with all my heart, soul, and endless deep affection. Let me know asap.",Love
"Hey support team, Tears in my eyes, feeling completely shattered, rejected, and crushed.",Sadness
"Hi, I'm nervous about my job interview scheduled for tomorrow morning.",Fear
"Dear team, Best day of my life, celebrating with my friends and family! Best regards.",Joy
Quick note: This traffic jam is driving me insane and making me lose my mind! Appreciate your help.,Anger
"Feeling extreme anxiety, nervous dread, and horror about what will happen.",Fear
Quick note: Wow! Please respond soon.,Surprise
"Hi, this is so creepy, scary, and dangerous, i am completely panicked. Let me know asap.",Fear
I am so grateful for all the support you've given me this year.,Joy
"i feel so helpless, abandoned, and isolated from everyone around me.",Sadness
"To whom it may concern, Such a sweet, lovely, and precious treasure in my life.",Love
"Hi, A sorrowful and agonizing situation that fills me with grief and tears. Thank you so much.",Sadness
"In my opinion, Feeling extreme anxiety, nervous dread, and horror about what will happen.",Fear
"Actually, the train arrives on platform four at quarter past five. Please assist.",Neutral
"Good morning, never in a million years did i see that unexpected outcome coming!",Surprise
"Notice: Oh my goodness, what a shocking, unbelievable revelation! Best regards.",Surprise
"Please note: disgusted and outraged by this terrible, disrespectful behavior! Appreciate your help.",Anger
Urgent: The meeting is scheduled for tomorrow afternoon in conference room B. Please respond soon.,Neutral
"Hello, my jaw literally dropped when i opened the secret gift box! Please respond soon.",Surprise
"Important: Disappointed with myself, feeling like an absolute failure and burden. Best regards.",Sadness
"Honestly, Feeling fantastic, energetic, and full of positive vibes and bliss! This is critical.",Joy
"Important: Such a joyous, cheerful, and uplifting celebration with my loved ones. Thank you so much.",Joy
"Good afternoon, Urgent threat warning, please take shelter immediately from the danger. This is critical.",Fear
"Dear team, Wow! Let me know asap.",Surprise
"In my opinion, The risk is horrifying, I am in total shock and petrified with anxiety.",Fear
"Hello, i am completely shocked, stunned, and astonished by this discovery! Thanks.",Surprise
"To whom it may concern, urgent threat warning, please take shelter immediately from the danger. Looking forward to hearing back.",Fear
a sorrowful and agonizing situation that fills me with grief and tears.,Sadness
"Update: Feeling extreme anxiety, nervous dread, and horror about what will happen. Please respond soon.",Fear
"Hello, The store is open from 9 AM to 6 PM on business weekdays. Thank you so much.",Neutral
Please note: A terrifying nightmare that frightened all of us to the bone. Thanks.,Fear
"Hi, Fantastic achievement, I am overjoyed and so proud of everyone. This is critical.",Joy
"Honestly, The temperature outside is 20 degrees Celsius with moderate wind. Let me know asap.",Neutral
"Actually, This traffic jam is driving me insane and making me lose my mind! Best regards.",Anger
"Good afternoon, Scared to death of the dark alley and the strange stalking footsteps. Appreciate your help.",Fear
