text,label
Urgent: The singer won three Grammy awards including Album of the Year and Best Pop Solo Performance. This is critical.,Entertainment
"Hello, Google announced major updates to its Gemini artificial intelligence models and cloud computing suite. Please respond soon.",Technology
"Honestly, Hedge funds adjusted their portfolio leverage and deployed quantitative arbitrage trading strategies. What do you suggest?",Finance
"Honestly, the box office thriller grossed over one hundred million dollars during its opening weekend in theaters. What do you suggest?",Entertainment
Urgent: Referees reviewed the VAR footage before awarding a decisive penalty kick in the final minutes. Let me know asap.,Sports
FYI: the streaming service launched a documentary series exploring behind-the-scenes stories of famous musicians. Best regards.,Entertainment
"Hi, Medical researchers discovered a promising targeted immunotherapy treatment for advanced cancer patients. What do you suggest?",Health
Notice: Shareholders approved the multi-billion dollar merger agreement after reviewing the balance sheet valuation. Best regards.,Finance
"Dear team, The national football team won the World Cup championship final in a thrilling penalty shootout. Thanks.",Sports
Quick note: hedge funds adjusted their portfolio leverage and deployed quantitative arbitrage trading strategies. Please assist.,Finance
"Hey support team, Microsoft integrated OpenAI machine learning tools into its Windows operating system and developer stack. Looking forward to hearing back.",Technology
Update: Economists forecast that macroeconomic stimulus policies will boost GDP growth and reduce fiscal deficit. Let me know asap.,Finance
"Actually, music producers collaborated with electronic artists to produce a vibrant synthesizer-driven pop anthem. Thank you so much.",Entertainment
The Olympic swimmer captured two gold medals and set a new world record in the 200m freestyle.,Sports
Quick note: The national football team won the World Cup championship final in a thrilling penalty shootout. Appreciate your help.,Sports
Notice: The health ministry expanded public health clinics and subsidized essential prescription medicines.,Health
FYI: Pharmaceutical companies are testing a novel antibody drug to treat rheumatoid arthritis and autoimmune disorders. Looking forward to hearing back.,Health
"Hi, Students formed collaborative study groups to prepare for final semester comprehensive examinations. Thanks.",Education
"Good afternoon, Fans celebrated wildly in the stadium as the striker scored a dramatic hat-trick in the derby match. This is critical.",Sports
"Honestly, Real estate market valuations softened as 30-year mortgage rates remained elevated near multi-year highs. This is critical.",Finance
Quick note: Shareholders approved the multi-billion dollar merger agreement after reviewing the balance sheet valuation. Let me know asap.,Finance
