text,label
i would like to request a 100% money-back refund under your return policy.,Refund
Quick note: Can you provide more information about your warranty coverage policy? What do you suggest?,Inquiry
Could you help me reset my account password?,Technical Support
"Hello, I am very unhappy with the substandard service provided by your company. Please assist.",Complaint
"In my opinion, the screen turns completely blank and white after the recent update. Thanks.",Technical Support
"To whom it may concern, The tracking number says out for delivery, what time will the courier arrive? Please respond soon.",Order Tracking
"Good afternoon, The service staff was extremely rude and unhelpful when I asked for assistance.",Complaint
"Hi, Please abort this order processing, I made a mistake and wish to cancel. Best regards.",Cancellation
Important: The Bluetooth device will not pair with my laptop despite restarting.,Technical Support
"Hey support team, What are the system requirements for running this software on Mac? Thank you so much.",Inquiry
Urgent: I have been waiting on hold for 45 minutes without anyone answering my call. Thank you so much.,Complaint
"Dear team, I returned the item to your store, when will my refund be credited? Thank you so much.",Refund
"Good afternoon, Please terminate my membership and delete my account.",Cancellation
Notice: Please issue a full refund back to my credit card immediately. Thank you so much.,Refund
what are the system requirements for running this software on mac?,Inquiry
Update: This is the worst customer experience I have ever endured. Appreciate your help.,Complaint
"Honestly, Thank you for the quick resolution, 5-star customer support experience! Thanks.",Feedback
"Your application is amazing, keep up the wonderful work!",Feedback
FYI: What is the status of my order that I placed three days ago? Please assist.,Order Tracking
"Actually, i am getting a database connection timeout error on the server. Looking forward to hearing back.",Technical Support
Do you offer international shipping to Canada and the United Kingdom?,Inquiry
"To whom it may concern, I want to make a reservation for two guests at 7:30 PM tonight. This is critical.",Inquiry
"Hey support team, do you have vegan and gluten-free options available on your dinner menu? Please respond soon.",Inquiry
"Good morning, I'd like to schedule an appointment with a specialist next week. Thank you so much.",Inquiry
What is the status of my order that I placed three days ago?,Order Tracking
Notice: Could you help me reset my account password? What do you suggest?,Technical Support
"Good morning, can you tell me what your opening hours are on weekends? Looking forward to hearing back.",Inquiry
"Hey support team, i would like to cancel order #99401 before it gets shipped from the warehouse. Best regards.",Cancellation
"In my opinion, The service staff was extremely rude and unhelpful when I asked for assistance. Thank you so much.",Complaint
cancel my subscription before the free trial period ends.,Cancellation
Please terminate my membership and delete my account.,Cancellation
"In my opinion, I returned the item to your store, when will my refund be credited? Please assist.",Refund
Urgent: I want a refund for the product since it arrived damaged.,Refund
"The product stopped working after two days, this is completely unacceptable.",Complaint
"In my opinion, Where is my package right now? Tracking number is TRK-881920. Let me know asap.",Order Tracking
"Hi, I am very unhappy with the substandard service provided by your company. Thanks.",Complaint
FYI: I want my cashback and purchase price refunded for this broken keyboard. Let me know asap.,Refund
Please note: How do I book a private consultation session with an advisor? Please respond soon.,Inquiry
Please note: Please terminate my membership and delete my account. Let me know asap.,Cancellation
"Good afternoon, The webcam driver is not detected during video conferencing calls. Let me know asap.",Technical Support
Can you check the current shipping location of order number #77102? Please respond soon.,Order Tracking
"In my opinion, The product did not match the website description, I demand my money back. Looking forward to hearing back.",Refund
How long does it take for a bank account refund to process?,Refund
Please note: the service staff was extremely rude and unhelpful when i asked for assistance. Let me know asap.,Complaint
"Good afternoon, When will my order arrive at my doorstep? Looking forward to hearing back.",Order Tracking
"Hello, I have not received any tracking updates for shipment #9084. This is critical.",Order Tracking
"To whom it may concern, Kudos to your delivery driver who was polite, punctual, and very professional. Let me know asap.",Feedback
i would like to cancel order #99401 before it gets shipped from the warehouse.,Cancellation
I have been waiting on hold for 45 minutes without anyone answering my call.,Complaint
Can I reserve a conference room for our team meeting on Friday at 3 PM? Thank you so much.,Inquiry
Could you help me reset my account password? Let me know asap.,Technical Support
"Good afternoon, is it possible to upgrade my current plan to the premium tier? Thank you so much.",Inquiry
Urgent: my api authentication token is failing with 401 unauthorized error. What do you suggest?,Technical Support
where is my package right now? tracking number is trk-881920.,Order Tracking
"Honestly, i cannot log into my account, it keeps saying invalid credentials. Please assist.",Technical Support
Can you tell me what your opening hours are on weekends?,Inquiry
This is the worst customer experience I have ever endured.,Complaint
"Hey support team, I want a refund for the product since it arrived damaged. Let me know asap.",Refund
i want to cancel my subscription effective immediately.,Cancellation
"Honestly, The Bluetooth device will not pair with my laptop despite restarting. Thank you so much.",Technical Support
"Hi, I have been waiting on hold for 45 minutes without anyone answering my call. Thank you so much.",Complaint
FYI: my api authentication token is failing with 401 unauthorized error.,Technical Support
Notice: the service staff was extremely rude and unhelpful when i asked for assistance. Let me know asap.,Complaint
can you check the current shipping location of order number #77102?,Order Tracking
Urgent: I would like to cancel order #99401 before it gets shipped from the warehouse. Please assist.,Cancellation
FYI: Can you provide more information about your warranty coverage policy? Looking forward to hearing back.,Inquiry
"Kudos to your delivery driver who was polite, punctual, and very professional.",Feedback
Notice: I'd like to book a table for four people this Saturday evening. What do you suggest?,Inquiry
"Hey support team, could you help me reset my account password? Thanks.",Technical Support
Urgent: I wanted to share some feedback regarding your recent software release. Thank you so much.,Feedback
Update: i am very unhappy with the substandard service provided by your company. Looking forward to hearing back.,Complaint
Please note: I have been waiting on hold for 45 minutes without anyone answering my call. This is critical.,Complaint
"Honestly, i want to cancel my subscription effective immediately. Let me know asap.",Cancellation
Quick note: i would like to request a 100% money-back refund under your return policy. This is critical.,Refund
"Honestly, this is the worst customer experience i have ever endured.",Complaint
Please note: i received the wrong item in my package and nobody is responding to my emails. Thanks.,Complaint
"Good afternoon, how much does the annual subscription plan cost for enterprise teams? Let me know asap.",Inquiry
"Good morning, Has my order #44910 been dispatched from the fulfillment warehouse yet? Appreciate your help.",Order Tracking
"Hi, what is the status of my order that i placed three days ago? Appreciate your help.",Order Tracking
"Hey support team, could you tell me if this winter jacket comes in size extra large?",Inquiry
Urgent: Could you tell me which courier service is handling the delivery of my parcel? Let me know asap.,Order Tracking
Quick note: Can you provide more information about your warranty coverage policy? Best regards.,Inquiry
Just wanted to say the support team was fantastic and super helpful!,Feedback
what payment methods do you accept on your online checkout page? Let me know asap.,Inquiry
"Hello, I received the wrong item in my package and nobody is responding to my emails. Please assist.",Complaint
"Good afternoon, How do I book a private consultation session with an advisor? This is critical.",Inquiry
"Dear team, i really love the new dark mode theme update you recently rolled out. This is critical.",Feedback
"i was charged twice for the same transaction, please refund the duplicate fee.",Refund
how much does the annual subscription plan cost for enterprise teams?,Inquiry
How much does the annual subscription plan cost for enterprise teams?,Inquiry
"Actually, Great job on the new features, they saved our team hours of work. Appreciate your help.",Feedback
Urgent: Where is my package right now? Tracking number is TRK-881920. Let me know asap.,Order Tracking
Important: How do I configure the SMTP email settings in the dashboard? Appreciate your help.,Technical Support
"Notice: i cannot log into my account, it keeps saying invalid credentials. Please assist.",Technical Support
I'm writing to complain about the poor quality of the item I received.,Complaint
"Good afternoon, Please terminate my membership and delete my account. Looking forward to hearing back.",Cancellation
Important: i have not received any tracking updates for shipment #9084. Best regards.,Order Tracking
FYI: Can you tell me what your opening hours are on weekends? Let me know asap.,Inquiry
"Hey support team, i really love the new dark mode theme update you recently rolled out. Please respond soon.",Feedback
"Honestly, Please void this transaction and cancel my pending order right away. Thank you so much.",Cancellation
Please note: I want to cancel my subscription effective immediately. This is critical.,Cancellation
"Hi, can you provide more information about your warranty coverage policy?",Inquiry
"To whom it may concern, Could you tell me if this winter jacket comes in size extra large? Best regards.",Inquiry
"Hi, please void this transaction and cancel my pending order right away. Thank you so much.",Cancellation
"Hi, please refund the unauthorized subscription charge on my debit card.",Refund
Notice: I would like to request a 100% money-back refund under your return policy. Appreciate your help.,Refund
Urgent: is there a free trial available for new users before purchasing? Thank you so much.,Inquiry
Notice: How do I clear the browser cache and cookies to fix rendering glitches? Thank you so much.,Technical Support
"Good morning, I would like to cancel order #99401 before it gets shipped from the warehouse. Thank you so much.",Cancellation
Please note: How do I clear the browser cache and cookies to fix rendering glitches? Thanks.,Technical Support
"Honestly, The webcam driver is not detected during video conferencing calls. What do you suggest?",Technical Support
I really love the new dark mode theme update you recently rolled out.,Feedback
Please note: I want my cashback and purchase price refunded for this broken keyboard. Please assist.,Refund
Notice: Please terminate my membership and delete my account.,Cancellation
Quick note: Cancel my subscription before the free trial period ends. Looking forward to hearing back.,Cancellation
When will my order arrive at my doorstep? This is critical.,Order Tracking
I'd like to schedule an appointment with a specialist next week.,Inquiry
"Good afternoon, has my order #44910 been dispatched from the fulfillment warehouse yet?",Order Tracking
Your technician did a terrible job and damaged my home wiring.,Complaint
Important: This is the worst customer experience I have ever endured. What do you suggest?,Complaint
"Good morning, how do i clear the browser cache and cookies to fix rendering glitches? Please respond soon.",Technical Support
I want to make a reservation for two guests at 7:30 PM tonight. What do you suggest?,Inquiry
"In my opinion, i would like to request a 100% money-back refund under your return policy. This is critical.",Refund
"Please note: Your application is amazing, keep up the wonderful work!",Feedback
"Actually, The room was dirty, noisy, and had no hot water during our entire stay.",Complaint
Urgent: This is the worst customer experience I have ever endured. Thanks.,Complaint
"Hi, I wanted to share some feedback regarding your recent software release. Let me know asap.",Feedback
FYI: Please cancel my monthly premium plan and stop all future recurring billing. Appreciate your help.,Cancellation
How can I cancel my gym membership without paying a cancellation fee?,Cancellation
Cancel my subscription before the free trial period ends.,Cancellation
"Dear team, I'd like to schedule an appointment with a specialist next week. Thank you so much.",Inquiry
"Good morning, I'd like to schedule an appointment with a specialist next week. Thanks.",Inquiry
"Dear team, Your application is amazing, keep up the wonderful work! Thank you so much.",Feedback
"Good afternoon, Do you offer international shipping to Canada and the United Kingdom? Please respond soon.",Inquiry
i need the tracking url and consignment number for my recent purchase.,Order Tracking
FYI: I want to cancel my flight reservation and void the airline ticket. What do you suggest?,Cancellation
my api authentication token is failing with 401 unauthorized error.,Technical Support
"Actually, please refund the unauthorized subscription charge on my debit card. Thanks.",Refund
"Hi, is it possible to upgrade my current plan to the premium tier? Appreciate your help.",Inquiry
Quick note: The screen turns completely blank and white after the recent update. Thank you so much.,Technical Support
